Artikelnummer;Kategorie;Artikelname;EK-Preis laut PDF (€);Verpackungseinheit;Produktfoto;PDF-Seite
ART-043;Einweg E-Zigaretten;Elfbar 800 Einweg E-Zigarette - Strawberry Ice;36.5;10 Stk.;Produktfotos/043.jpg;12
ART-044;Einweg E-Zigaretten;Elfbar 800 Einweg E-Zigarette - Pineapple Ice;36.5;10 Stk.;Produktfotos/044.jpg;12
ART-045;Einweg E-Zigaretten;Elfbar 800 Einweg E-Zigarette - Lemon Lime;36.5;10 Stk.;Produktfotos/045.jpg;12
ART-046;Einweg E-Zigaretten;Elfbar 800 Einweg E-Zigarette - Kiwi Passion Fruit Guava;36.5;10 Stk.;Produktfotos/046.jpg;12
ART-047;Einweg E-Zigaretten;Lost Mary BM600 CP Einweg E-Zigarette - Cherry Ice;33.5;10 Stk.;Produktfotos/047.jpg;13
ART-048;Einweg E-Zigaretten;Lost Mary BM600 CP Einweg E-Zigarette - Grape;33.5;10 Stk.;Produktfotos/048.jpg;13
ART-049;Einweg E-Zigaretten;Lost Mary BM600 CP Einweg E-Zigarette - Peach Ice (ehem. Juicy Peach);33.5;10 Stk.;Produktfotos/049.jpg;13
ART-050;Einweg E-Zigaretten;Lost Mary BM600 CP Einweg E-Zigarette - Marygy Ice;33.5;10 Stk.;Produktfotos/050.jpg;13
ART-051;Einweg E-Zigaretten;Lost Mary BM600 CP Einweg E-Zigarette - Crazy Apple;33.5;10 Stk.;Produktfotos/051.jpg;14
ART-052;Einweg E-Zigaretten;Lost Mary BM600 CP Einweg E-Zigarette - Kiwi Passion Fruit Guava;33.5;10 Stk.;Produktfotos/052.jpg;14
ART-053;Einweg E-Zigaretten;Lost Mary BM600 CP Einweg E-Zigarette - Pink Lemonade;33.5;10 Stk.;Produktfotos/053.jpg;14
ART-054;Prefilled Pod Kits;2x Elfbar ELFA Pod Filter Series - Cream Tobacco;50.0;10 Stk.;Produktfotos/054.jpg;15
ART-055;Prefilled Pod Kits;2x Elfbar ELFA Pod Filter Series - American Blend Tobacco;50.0;10 Stk.;Produktfotos/055.jpg;15
ART-056;Prefilled Pod Kits;Lost Mary Wavi Basisgerät;36.0;10 Stk.;Produktfotos/056.jpg;16
ART-057;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Apple Peach;47.5;10 Stk.;Produktfotos/057.jpg;16
ART-058;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Blackberry Ice;47.5;10 Stk.;Produktfotos/058.jpg;16
ART-059;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Blue Razz Lemonade;47.5;10 Stk.;Produktfotos/059.jpg;16
ART-060;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Blueberry;47.5;10 Stk.;Produktfotos/060.jpg;17
ART-061;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Blueberry Sour Raspberry;47.5;10 Stk.;Produktfotos/061.jpg;17
ART-062;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Cherry Cola;47.5;10 Stk.;Produktfotos/062.jpg;17
ART-063;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Cherry Ice;47.5;10 Stk.;Produktfotos/063.jpg;17
ART-064;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Cola;47.5;10 Stk.;Produktfotos/064.jpg;18
